measure_env	evolution_env	replicate	transfer	ciliate_per_ml
bact_pred	bact_strep	F	12	1961
bact_pred	bact_pred	A	12	1961
bact_pred	bact_pred	B	12	1569
bact_pred	bact_pred	C	12	2746
bact_pred	bact_pred	D	12	1961
bact_pred	bact_pred	E	12	1177
bact_pred	bact_pred	F	12	1961
bact_pred	bact_pred_strep	A	12	3923
bact_pred	bact_pred_strep	B	12	5492
bact_pred	bact_pred_strep	C	12	10592
bact_pred	bact_pred_strep	D	12	6277
bact_pred	bact_pred_strep	E	12	12161
bact_pred	bact_pred_strep	F	12	6277
bact_pred_strep	anc	A	12	0
bact_pred_strep	anc	B	12	4708
bact_pred_strep	anc	C	12	8238
bact_pred_strep	anc	D	12	4708
bact_pred_strep	anc	E	12	9807
bact_pred_strep	anc	F	12	0
bact_pred_strep	bact	A	12	5492
